county/sub_county,total,farming,crop_production,livestock_production,aquaculture,fishing,irrigation,maize,sorghum,rice,potatoes,beans,cassava,sweet_potatoes,wheat,green_grams,bananas,cabbages,tomatoes,onions,ground_nuts,millet,watermelons,kales,sugarcane,cotton,exotic_cattle_0dairy,exotic_cattle_0beef,indigenous_cattle,sheep,goats,camels,donkeys,pigs,indigenous_chicken,exotic_chicken_layers,exotic_chicken_broilers,beehives,rabbits,fish_ponds,fish_cages
NORTH HORR,9789,7259.0,18,7238,53,603,5,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,369,290,2644,6867,6937,5289.0,4958,4.0,108,22,10,1,1,49.0,24.0
SOLOLO,7238,3654.0,233,3620,54,24,35,167.0,0.0,0.0,124.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,141,99,2631,1745,2516,805.0,990,3.0,412,18,9,3,2,41.0,5.0
ISIOLO,58072,24271.0,2780,23348,80,209,1322,1983.0,0.0,0.0,1297.0,0.0,351.0,0.0,290.0,307.0,0.0,1111.0,1019.0,0.0,0.0,364.0,1086.0,0.0,0.0,0.0,596,406,11953,19424,20562,6771.0,11509,11.0,6041,319,225,407,54,66.0,13.0
GARBATULLA,18661,9264.0,1016,8990,47,75,582,655.0,0.0,0.0,206.0,0.0,99.0,0.0,138.0,119.0,0.0,491.0,442.0,0.0,0.0,223.0,390.0,0.0,0.0,0.0,219,171,3653,7843,8145,2988.0,5232,0.0,1704,42,31,53,6,38.0,10.0
ISIOLO,29853,8600.0,1485,7989,12,55,649,1119.0,0.0,0.0,1059.0,0.0,239.0,0.0,143.0,176.0,0.0,520.0,494.0,0.0,0.0,87.0,619.0,0.0,0.0,0.0,222,114,4767,5957,6802,1906.0,2718,10.0,3090,241,179,352,45,10.0,1.0
MERTI,9558,6407.0,279,6369,21,79,91,209.0,0.0,0.0,32.0,0.0,13.0,0.0,9.0,12.0,0.0,100.0,83.0,0.0,0.0,54.0,77.0,0.0,0.0,0.0,155,121,3533,5624,5615,1877.0,3559,1.0,1247,36,15,2,3,18.0,2.0
MERU,426360,274865.0,250493,201036,1089,1666,51587,217403.0,34277.0,68292.0,181410.0,40774.0,34320.0,6290.0,23981.0,118020.0,22818.0,13710.0,19650.0,6202.0,15218.0,2499.0,53941.0,27532.0,2428.0,0.0,63202,12794,69431,34791,94528,273.0,3788,11730.0,132552,11192,6091,12278,12517,1011.0,112.0
BUURI EAST,23834,18061.0,16507,14523,56,91,2853,14811.0,555.0,12913.0,14256.0,1129.0,1731.0,2267.0,607.0,2189.0,2572.0,1268.0,1667.0,89.0,147.0,240.0,3439.0,677.0,331.0,0.0,5096,1452,5819,5157,5740,7.0,420,476.0,11300,856,427,548,1247,49.0,5.0
BUURI WEST,27973,14939.0,13701,10656,67,83,4742,11358.0,191.0,11231.0,8916.0,535.0,1155.0,2009.0,554.0,1656.0,2568.0,918.0,3423.0,99.0,118.0,119.0,4760.0,1440.0,80.0,0.0,3448,729,4911,5029,2402,6.0,41,156.0,7469,603,265,296,1016,64.0,3.0
IGEMBE CENTRAL,52031,31946.0,28457,21839,77,147,1943,25925.0,1189.0,5413.0,22202.0,2623.0,1851.0,184.0,1982.0,7755.0,220.0,667.0,426.0,137.0,887.0,253.0,2101.0,1710.0,105.0,0.0,3100,703,9068,3080,13495,62.0,812,272.0,12443,918,547,921,378,70.0,11.0
IGEMBE NORTH,38871,22743.0,20589,14190,78,104,345,18822.0,1432.0,7915.0,16600.0,2270.0,1589.0,260.0,580.0,7450.0,262.0,364.0,208.0,75.0,1397.0,115.0,1647.0,1138.0,79.0,0.0,2263,473,6601,1654,7615,39.0,388,61.0,7035,615,340,473,167,70.0,8.0
IGEMBE SOUTH,43281,21483.0,19032,13575,88,130,3346,14780.0,1456.0,1300.0,11435.0,2143.0,1451.0,207.0,2368.0,9459.0,349.0,577.0,812.0,192.0,1747.0,168.0,3804.0,2634.0,131.0,0.0,2873,713,4429,1198,6501,5.0,129,1323.0,7279,1202,1225,727,480,76.0,16.0
IMENTI NORTH,57668,27839.0,24773,20376,115,185,5461,21729.0,3310.0,4663.0,19255.0,5509.0,4719.0,354.0,2031.0,15073.0,1787.0,2345.0,2023.0,1093.0,1124.0,321.0,6282.0,2981.0,101.0,0.0,6964,1323,5293,3219,9179,13.0,71,2049.0,14289,1361,535,1135,1586,112.0,12.0
IMENTI SOUTH,64186,46386.0,43765,35690,273,416,18096,36114.0,6812.0,10358.0,27093.0,9476.0,9879.0,287.0,4711.0,31511.0,8020.0,3795.0,6672.0,389.0,2378.0,452.0,16319.0,8708.0,225.0,0.0,20822,3936,5259,4003,13190,12.0,33,959.0,25421,2630,1387,2107,2641,260.0,29.0
MERU CENTRAL,39595,31894.0,30166,25068,124,236,9992,26113.0,9618.0,7965.0,20800.0,6304.0,5575.0,264.0,6544.0,17375.0,6421.0,1455.0,2474.0,1452.0,3562.0,259.0,9345.0,4317.0,159.0,0.0,12860,2191,4840,3664,10367,10.0,161,1647.0,17981,1690,694,2319,2395,113.0,10.0
TIGANIA CENTRAL,25039,18982.0,17222,14249,76,100,2332,13696.0,4044.0,482.0,10065.0,2630.0,1752.0,166.0,2040.0,10529.0,231.0,613.0,687.0,1438.0,2783.0,174.0,2592.0,1976.0,80.0,0.0,2251,484,7040,1460,7556,11.0,31,2240.0,9016,600,327,1622,847,73.0,3.0
TIGANIA EAST,17185,12186.0,10416,8860,41,52,749,9790.0,1004.0,4543.0,9004.0,1723.0,1027.0,43.0,352.0,3542.0,136.0,511.0,408.0,30.0,87.0,94.0,1125.0,636.0,44.0,0.0,1471,288,3921,2644,5453,98.0,582,62.0,5239,289,148,499,379,32.0,8.0
TIGANIA WEST,36207,28224.0,25691,21927,93,122,1714,24124.0,4655.0,1354.0,21669.0,6402.0,3559.0,244.0,2206.0,11439.0,234.0,1186.0,828.0,1199.0,977.0,302.0,2482.0,1298.0,1089.0,0.0,2015,481,12227,3650,13008,10.0,1115,2479.0,15035,424,193,1624,1372,91.0,7.0
MERU NATIONAL PARK,207,3.0,3,0,0,0,0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0
MT. KENYA FOREST,283,179.0,171,83,1,0,14,138.0,11.0,155.0,113.0,30.0,32.0,5.0,6.0,42.0,17.0,11.0,22.0,9.0,11.0,2.0,45.0,17.0,4.0,0.0,39,21,23,33,22,0.0,5,6.0,45,4,3,7,9,1.0,0.0
THARAKA 0 NITHI,109860,85767.0,79228,67964,304,786,7766,53730.0,31848.0,6312.0,41827.0,18303.0,10425.0,0.0,29144.0,31892.0,2102.0,3745.0,5674.0,1012.0,27262.0,1158.0,13507.0,10232.0,616.0,0.0,18185,3635,22274,13039,44784,33.0,3849,3566.0,54256,2623,1041,9054,4004,284.0,29.0
IGAMBANG'OMBE,14398,12254.0,11495,9640,50,159,999,8147.0,5572.0,182.0,5537.0,1611.0,630.0,0.0,5612.0,1673.0,96.0,345.0,140.0,57.0,5004.0,141.0,888.0,462.0,134.0,0.0,1137,273,4271,2045,7409,7.0,98,239.0,7880,231,137,1632,469,49.0,2.0
MAARA,35041,27526.0,25577,22505,101,228,4625,22411.0,6627.0,1950.0,19555.0,9279.0,5728.0,0.0,2422.0,17938.0,1391.0,2320.0,4274.0,267.0,1616.0,321.0,8614.0,5469.0,114.0,0.0,11013,2264,3693,2211,12252,10.0,5,1496.0,17224,1138,461,2066,1596,97.0,8.0
MERU SOUTH,28249,19251.0,17733,15519,80,139,1138,15832.0,1883.0,4090.0,14528.0,6907.0,3628.0,0.0,255.0,11559.0,518.0,805.0,1089.0,125.0,300.0,117.0,3219.0,4003.0,52.0,0.0,5625,957,3618,1993,9003,1.0,6,1164.0,12408,843,295,1650,1783,75.0,8.0
THARAKA NORTH,13413,11402.0,10623,8381,32,63,236,2660.0,8316.0,44.0,959.0,170.0,113.0,0.0,9190.0,261.0,40.0,111.0,65.0,360.0,9350.0,349.0,283.0,150.0,139.0,0.0,90,21,4342,3227,6625,6.0,2642,368.0,6806,105,32,1730,23,29.0,4.0
THARAKA SOUTH,18646,15330.0,13798,11917,41,196,766,4678.0,9450.0,45.0,1246.0,335.0,325.0,0.0,11665.0,460.0,57.0,163.0,105.0,203.0,10992.0,230.0,501.0,148.0,177.0,0.0,320,120,6350,3563,9495,9.0,1098,299.0,9936,305,116,1976,133,34.0,7.0
MT. KENYA FOREST,113,4.0,2,2,0,1,2,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,2,1,0,0,0,0.0,0.0
EMBU,182743,130990.0,123265,98446,579,1633,11873,109171.0,22883.0,31032.0,89278.0,27641.0,20905.0,0.0,30437.0,55970.0,8247.0,8734.0,8517.0,1215.0,12819.0,1884.0,27825.0,17631.0,0.0,0.0,23852,5700,32172,12781,56864,56.0,8069,2404.0,80171,4250,1525,11926,7297,549.0,57.0
EMBU EAST,39678,31674.0,29995,23924,160,234,2595,26782.0,740.0,13434.0,23223.0,9993.0,6218.0,0.0,209.0,21651.0,2601.0,2578.0,3137.0,202.0,282.0,277.0,9108.0,7359.0,0.0,0.0,9087,2026,4669,2221,11625,8.0,12,545.0,19095,1324,457,2159,2293,159.0,15.0
EMBU NORTH,24300,18854.0,17797,13718,90,176,2234,14688.0,169.0,6378.0,11822.0,4179.0,5096.0,0.0,139.0,13757.0,4260.0,2289.0,3214.0,107.0,80.0,127.0,9773.0,4749.0,0.0,0.0,7012,1593,1551,1373,4519,4.0,3,616.0,9773,1051,421,976,1567,84.0,8.0
EMBU WEST,43153,21166.0,19386,14566,151,220,2231,16926.0,443.0,9283.0,14872.0,4414.0,3725.0,0.0,317.0,12529.0,943.0,1359.0,1292.0,242.0,205.0,285.0,4773.0,3370.0,0.0,0.0,5180,1414,2402,1115,6612,10.0,43,900.0,11173,879,342,1131,1582,141.0,15.0
MBEERESOUTH,46065,35511.0,33684,27304,93,705,2930,31493.0,12570.0,698.0,24850.0,5218.0,3945.0,0.0,20013.0,3659.0,274.0,1664.0,486.0,451.0,4855.0,724.0,2431.0,1064.0,0.0,0.0,1226,424,14638,4924,20027,20.0,5376,161.0,23551,638,169,4040,1058,88.0,12.0
MBEERE NORTH,29528,23785.0,22403,18934,85,298,1883,19282.0,8961.0,1239.0,14511.0,3837.0,1921.0,0.0,9759.0,4374.0,169.0,844.0,388.0,213.0,7397.0,471.0,1740.0,1089.0,0.0,0.0,1347,243,8912,3148,14081,14.0,2635,182.0,16579,358,136,3620,797,77.0,7.0
MT. KENYA FOREST,19,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0
KITUI,262942,215322.0,199459,177701,570,863,6716,178635.0,98030.0,0.0,105815.0,35623.0,15210.0,0.0,133390.0,16923.0,1330.0,8600.0,5648.0,0.0,60988.0,17724.0,19725.0,3959.0,2711.0,0.0,3865,3016,88486,20920,149306,433.0,103497,175.0,147023,3016,1968,30134,710,461.0,82.0
IKUTHA,16679,14236.0,12055,12419,29,62,582,11519.0,7331.0,0.0,2705.0,1269.0,674.0,0.0,10007.0,354.0,82.0,451.0,274.0,0.0,4464.0,1767.0,1265.0,135.0,99.0,0.0,287,237,6610,1574,10912,6.0,8639,14.0,10106,239,145,3044,16,21.0,3.0
KATULANI,12170,10717.0,10312,8313,29,39,327,10218.0,1976.0,0.0,8454.0,2224.0,1336.0,0.0,5744.0,845.0,55.0,514.0,299.0,0.0,252.0,271.0,937.0,144.0,29.0,0.0,205,174,4018,356,6628,7.0,4233,7.0,7172,178,151,444,49,24.0,7.0
KISASI,10866,9797.0,9618,7756,15,28,221,9452.0,4226.0,0.0,5605.0,2311.0,1294.0,0.0,6861.0,634.0,78.0,547.0,360.0,0.0,556.0,448.0,902.0,120.0,74.0,0.0,135,109,4225,310,6289,3.0,4129,9.0,6524,87,41,708,41,11.0,1.0
KITUI CENTRAL,29057,17146.0,16227,11892,47,73,484,15951.0,3334.0,0.0,13599.0,5857.0,2060.0,0.0,4553.0,3958.0,171.0,963.0,610.0,0.0,730.0,412.0,2191.0,1063.0,105.0,0.0,561,254,4856,332,8313,7.0,3397,14.0,9795,329,200,689,65,42.0,3.0
KITUI WEST,17497,15208.0,14688,12411,21,52,262,14528.0,4148.0,0.0,13917.0,3739.0,1410.0,0.0,7066.0,2355.0,89.0,434.0,379.0,0.0,430.0,242.0,1062.0,315.0,35.0,0.0,313,135,5607,1008,9738,10.0,6165,11.0,10827,107,57,357,147,18.0,1.0
KYUSO,15993,14021.0,12646,12287,37,65,500,8649.0,10300.0,0.0,2600.0,1076.0,224.0,0.0,10710.0,319.0,60.0,403.0,293.0,0.0,8956.0,2412.0,836.0,167.0,650.0,0.0,195,241,6508,2304,10907,11.0,9089,10.0,9791,248,170,3253,12,34.0,4.0
LOWER YATTA,15454,12281.0,11395,10349,76,78,618,11247.0,3502.0,0.0,8902.0,1185.0,1233.0,0.0,8227.0,888.0,100.0,681.0,525.0,0.0,691.0,570.0,1524.0,178.0,87.0,0.0,379,313,6243,1380,8869,9.0,6395,7.0,8461,286,215,1890,24,50.0,26.0
MATINYANI,11513,10531.0,10247,8314,17,27,376,10104.0,2111.0,0.0,9620.0,2966.0,1327.0,0.0,4150.0,1623.0,81.0,499.0,335.0,0.0,161.0,157.0,1618.0,260.0,25.0,0.0,286,206,3953,712,6297,5.0,3504,8.0,7272,183,93,329,75,14.0,2.0
MIGWANI,19096,17012.0,16281,14237,27,66,326,16066.0,4482.0,0.0,14899.0,4481.0,1640.0,0.0,9685.0,2235.0,84.0,631.0,412.0,0.0,882.0,510.0,1245.0,413.0,69.0,0.0,216,150,6278,1340,11927,4.0,6759,13.0,12272,127,80,1418,141,24.0,2.0
MUMONI,6496,5646.0,5185,4876,12,27,126,3538.0,4499.0,0.0,1549.0,630.0,154.0,0.0,4536.0,110.0,19.0,113.0,68.0,0.0,4403.0,620.0,345.0,38.0,146.0,0.0,91,144,2513,1132,4472,1.0,3345,3.0,4107,74,100,1184,7,12.0,0.0
MUTITU,11521,9766.0,8461,8551,39,44,348,7928.0,5245.0,0.0,482.0,856.0,438.0,0.0,6909.0,403.0,72.0,439.0,338.0,0.0,4657.0,1193.0,911.0,146.0,51.0,0.0,138,103,4160,991,7372,74.0,5873,8.0,6835,116,37,1954,8,34.0,5.0
MUTITU NORTH,4929,4303.0,3966,3668,12,12,92,3889.0,2244.0,0.0,846.0,323.0,108.0,0.0,3265.0,163.0,23.0,149.0,114.0,0.0,1648.0,475.0,469.0,42.0,21.0,0.0,99,65,1892,149,3181,4.0,2158,5.0,2776,90,48,1075,5,5.0,0.0
MUTOMO,23044,19832.0,18506,16780,54,60,652,18067.0,11975.0,0.0,3898.0,2664.0,1192.0,0.0,15363.0,581.0,99.0,627.0,482.0,0.0,7983.0,1967.0,1618.0,186.0,103.0,0.0,193,110,9601,1717,14496,258.0,10818,19.0,14157,166,62,3774,15,34.0,5.0
MWINGI CENTRAL,26753,19371.0,17344,16408,60,61,793,16328.0,10483.0,0.0,10494.0,2220.0,839.0,0.0,12640.0,812.0,114.0,918.0,423.0,0.0,6105.0,1339.0,1872.0,324.0,86.0,0.0,307,301,7504,1526,14598,7.0,10481,17.0,13058,287,189,3494,37,51.0,9.0
MWINGI EAST,18730,15945.0,14231,13810,27,55,350,10679.0,10592.0,0.0,1984.0,606.0,116.0,0.0,11385.0,180.0,45.0,257.0,151.0,0.0,9718.0,2389.0,1023.0,84.0,74.0,0.0,115,168,6853,824,12054,18.0,9688,10.0,11077,153,79,3736,10,24.0,3.0
NZAMBANI,11276,9189.0,8728,6611,13,42,394,8618.0,3224.0,0.0,6075.0,2743.0,1113.0,0.0,3606.0,1308.0,102.0,738.0,465.0,0.0,756.0,434.0,1397.0,226.0,161.0,0.0,217,91,3034,290,5131,0.0,2065,9.0,5649,158,147,787,50,13.0,1.0
THAGICU,3289,2968.0,2620,2723,4,30,51,311.0,2127.0,0.0,43.0,21.0,7.0,0.0,2394.0,62.0,16.0,38.0,13.0,0.0,2364.0,219.0,48.0,29.0,175.0,0.0,41,126,1350,1547,2464,1.0,1697,5.0,2152,94,100,405,3,2.0,2.0
TSEIKURU,8579,7353.0,6949,6296,51,42,214,1543.0,6231.0,0.0,143.0,452.0,45.0,0.0,6289.0,93.0,40.0,198.0,107.0,0.0,6232.0,2299.0,462.0,89.0,721.0,0.0,87,89,3281,3428,5658,8.0,5062,6.0,4992,94,54,1593,5,48.0,8.0
MACHAKOS,402466,231341.0,217073,176746,564,1834,16642,211089.0,22077.0,12704.0,194467.0,60602.0,37625.0,0.0,55800.0,60821.0,5394.0,16758.0,9110.0,0.0,4514.0,4679.0,40521.0,9053.0,0.0,0.0,12759,4057,103561,34152,113642,96.0,19679,427.0,143193,5072,2606,6284,7966,500.0,68.0
ATHI RIVER,109735,13071.0,9680,9681,63,131,1751,8395.0,628.0,801.0,7655.0,1607.0,1622.0,0.0,1175.0,1964.0,741.0,1747.0,1466.0,0.0,274.0,509.0,3530.0,755.0,0.0,0.0,908,384,4053,2442,4720,10.0,840,103.0,7566,706,395,170,350,57.0,5.0
KALAMA,14182,11334.0,10682,8859,33,93,422,10522.0,764.0,457.0,9915.0,3801.0,1891.0,0.0,1015.0,2476.0,146.0,501.0,387.0,0.0,293.0,235.0,1188.0,213.0,0.0,0.0,534,267,5531,945,6429,7.0,497,6.0,7298,237,149,207,266,28.0,3.0
KANGUNDO,26142,23045.0,22600,16919,33,103,1196,22225.0,841.0,680.0,21492.0,12572.0,7126.0,0.0,1198.0,12735.0,400.0,2108.0,1225.0,0.0,204.0,307.0,5628.0,1212.0,0.0,0.0,2134,311,8921,2432,8352,8.0,835,48.0,13606,533,223,299,1541,33.0,2.0
KATHIANI,28730,24578.0,23760,17370,29,119,2968,22949.0,587.0,4271.0,21996.0,8863.0,4515.0,0.0,1385.0,11005.0,1432.0,2360.0,580.0,0.0,168.0,196.0,6408.0,2216.0,0.0,0.0,1643,396,8796,2938,8195,5.0,547,18.0,13818,442,190,177,1102,27.0,2.0
MACHAKOS,50979,26753.0,25084,18067,41,142,1693,24221.0,654.0,4625.0,23140.0,8216.0,4745.0,0.0,1663.0,8841.0,1002.0,2399.0,1467.0,0.0,207.0,387.0,6237.0,1466.0,0.0,0.0,1783,398,8026,2383,9831,9.0,541,35.0,14011,644,299,216,959,40.0,0.0
MASINGA,36251,30328.0,28120,25112,126,375,1314,27568.0,6838.0,516.0,22682.0,4641.0,3705.0,0.0,15211.0,3725.0,249.0,1289.0,517.0,0.0,1295.0,900.0,3138.0,593.0,0.0,0.0,673,448,16828,5885,20093,20.0,3189,42.0,21012,521,264,1857,630,106.0,22.0
MATUNGULU,44454,29763.0,27638,21307,76,311,2590,26874.0,1154.0,822.0,25219.0,9598.0,5002.0,0.0,2807.0,8993.0,621.0,2519.0,1678.0,0.0,230.0,481.0,5040.0,1124.0,0.0,0.0,1088,366,12402,7460,10378,11.0,253,84.0,16733,578,349,414,1528,66.0,11.0
MWALA,45840,39928.0,38921,32795,77,243,1609,38432.0,5503.0,245.0,35847.0,7415.0,5567.0,0.0,16227.0,7045.0,396.0,1804.0,872.0,0.0,1025.0,843.0,4492.0,484.0,0.0,0.0,2491,982,21862,3517,24657,14.0,7143,32.0,27496,826,428,1437,964,68.0,19.0
YATTA,46153,32541.0,30588,26636,86,317,3099,29903.0,5108.0,287.0,26521.0,3889.0,3452.0,0.0,15119.0,4037.0,407.0,2031.0,918.0,0.0,818.0,821.0,4860.0,990.0,0.0,0.0,1505,505,17142,6150,20987,12.0,5834,59.0,21653,585,309,1507,626,75.0,4.0
MAKUENI,244669,193531.0,180639,157946,394,908,15313,176503.0,34867.0,12328.0,137972.0,45628.0,29899.0,0.0,69800.0,49487.0,6382.0,12906.0,6773.0,0.0,6607.0,5887.0,33585.0,12286.0,1564.0,0.0,9659,3192,96923,27988,118982,73.0,30697,129.0,133836,4986,2755,12302,3675,324.0,66.0
KATHONZWENI,18365,15666.0,14130,13978,24,60,703,13792.0,5465.0,50.0,7183.0,1179.0,982.0,0.0,11177.0,781.0,106.0,646.0,293.0,0.0,989.0,537.0,1605.0,175.0,220.0,0.0,609,180,8860,2296,12320,7.0,7244,10.0,12254,196,125,1936,96,21.0,6.0
KIBWEZI,47912,33820.0,29084,27645,77,166,2036,27902.0,9449.0,132.0,10918.0,3984.0,1560.0,0.0,21402.0,1184.0,236.0,1291.0,396.0,0.0,1582.0,1597.0,3302.0,445.0,367.0,0.0,708,434,15179,5902,23851,8.0,2515,20.0,22767,717,355,2752,247,61.0,16.0
KILUNGU,14586,12881.0,12457351,10182,26,71,1659,12264.0,328.0,3882.0,11953.0,6415.0,2679.0,0.0,397.0,8065.0,1342.0,1141.0,706.0,0.0,81.0,114.0,3520.0,2831.0,62.0,0.0,1121,225,5694,1265,5833,11.0,559,4.0,8451,505,270,547,562,23.0,2.0
MAKINDU,21756,14334.0,12115,11710,28,151,984,11577.0,2694.0,70.0,6083.0,1205.0,1189.0,0.0,8944.0,476.0,123.0,694.0,203.0,0.0,468.0,503.0,1434.0,152.0,70.0,0.0,295,197,5562,2669,9872,12.0,996,9.0,9635,343,326,1343,128,21.0,2.0
MAKUENI,34479,26021.0,25179,20749,84,106,2125,24706.0,4234.0,750.0,22675.0,7769.0,5789.0,0.0,6568.0,9637.0,755.0,2016.0,1126.0,0.0,566.0,912.0,5365.0,1871.0,214.0,0.0,1544,523,13900,2339,14213,10.0,4645,23.0,17975,570,258,1425,803,62.0,21.0
MBOONI EAST,23734,21461.0,20939,17985,32,123,1183,20622.0,5991.0,193.0,18669.0,4005.0,3983.0,0.0,8710.0,6192.0,332.0,1164.0,713.0,0.0,1174.0,624.0,3330.0,933.0,194.0,0.0,1128,578,12220,1627,14226,4.0,7193,12.0,15467,976,501,1446,312,29.0,5.0
MBOONI WEST,24833,22069.0,21464,16721,30,57,3248,21181.0,1445.0,4472.0,20651.0,9076.0,5390.0,0.0,1370.0,11744.0,1731.0,2416.0,1656.0,0.0,417.0,376.0,6850.0,2943.0,118.0,0.0,1890,351,9220,2011,10244,3.0,747,6.0,14219,744,469,453,563,27.0,4.0
MUKAA,28185,22133.0,21171,18432,36,70,1026,20838.0,1866.0,2397.0,19847.0,6186.0,4042.0,0.0,2658.0,5720.0,786.0,1217.0,847.0,0.0,454.0,420.0,2893.0,1187.0,46.0,0.0,1095,266,12962,5285,13402,5.0,1925,22.0,15604,341,200,897,488,34.0,1.0
NZAUI,30819,25146.0,24100,20544,57,104,2349,23621.0,3395.0,382.0,19993.0,5809.0,4285.0,0.0,8574.0,5688.0,971.0,2321.0,833.0,0.0,876.0,804.0,5286.0,1749.0,273.0,0.0,1269,438,13326,4594,15021,13.0,4873,23.0,17464,594,251,1503,476,46.0,9.0
NYANDARUA,179686,140854.0,135148,110337,250,603,4218,114595.0,1793.0,119679.0,59481.0,1038.0,3788.0,2719.0,4241.0,3956.0,64651.0,3099.0,43964.0,0.0,0.0,0.0,74358.0,3636.0,0.0,0.0,62978,9637,23151,53860,12196,0.0,6668,512.0,80850,7065,1996,2442,9263,233.0,16.0
KINANGOP,30970,23636.0,22292,18291,28,50,502,13568.0,35.0,20282.0,3784.0,40.0,84.0,85.0,971.0,83.0,15861.0,118.0,4652.0,0.0,0.0,0.0,12808.0,80.0,0.0,0.0,13083,1741,1297,8503,688,0.0,635,37.0,11473,1371,325,194,1529,25.0,3.0
NYANDARUA SOUTH,25822,20400.0,19621,16405,23,83,196,15798.0,66.0,18318.0,5585.0,35.0,97.0,447.0,379.0,64.0,13047.0,133.0,8531.0,0.0,0.0,0.0,13258.0,90.0,0.0,0.0,12458,2009,1977,7688,409,0.0,643,10.0,10747,1301,275,370,1752,23.0,1.0
MIRANGINE,18816,14488.0,14078,11271,30,43,237,12400.0,62.0,13109.0,4788.0,53.0,88.0,47.0,396.0,295.0,6571.0,223.0,5355.0,0.0,0.0,0.0,8003.0,64.0,0.0,0.0,7888,1142,1422,5381,649,0.0,1160,24.0,8013,533,167,127,878,26.0,5.0
KIPIPIRI,25200,21702.0,20973,17349,38,93,1302,17870.0,108.0,18566.0,10808.0,63.0,490.0,642.0,533.0,525.0,10197.0,458.0,7854.0,0.0,0.0,0.0,11311.0,423.0,0.0,0.0,9357,1760,5081,9301,1165,0.0,954,32.0,12813,1405,600,641,1223,36.0,1.0
NYANDARUA CENTRAL,21942,16111.0,15535,12171,36,83,185,14729.0,203.0,13376.0,9967.0,59.0,328.0,228.0,429.0,550.0,6477.0,591.0,5325.0,0.0,0.0,0.0,8579.0,334.0,0.0,0.0,6015,838,2448,6309,1796,0.0,1519,72.0,9754,857,208,258,952,33.0,1.0
NYANDARUA WEST,29008,21047.0,20060,16014,26,100,319,18616.0,129.0,16949.0,9871.0,55.0,450.0,534.0,925.0,720.0,6391.0,374.0,5685.0,0.0,0.0,0.0,9870.0,868.0,0.0,0.0,7930,1192,3089,7768,2251,0.0,826,89.0,12591,931,214,285,1495,24.0,1.0
NYANDARUA NORTH,27917,23468.0,22587,18834,69,151,1477,21613.0,1190.0,19077.0,14678.0,733.0,2251.0,736.0,608.0,1719.0,6106.0,1201.0,6562.0,0.0,0.0,0.0,10529.0,1777.0,0.0,0.0,6245,955,7837,8909,5238,0.0,931,248.0,15457,665,206,567,1434,66.0,4.0
ABERDARE NATIONAL PA,11,2.0,2,2,0,0,0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0,0.0,2,2,1,0,0,0.0,0.0
NYERI,248050,164229.0,154421,122979,760,1264,23545,138426.0,3354.0,0.0,108919.0,125889.0,13597.0,34618.0,2536.0,2311.0,81891.0,45430.0,12864.0,27917.0,0.0,0.0,71714.0,23622.0,0.0,0.0,51342,7267,28563,33893,41183,0.0,439,2305.0,84273,8973,2370,3514,9302,718.0,58.0
TETU,24139,20387.0,19625,15595,101,155,739,18703.0,177.0,0.0,16979.0,17212.0,1576.0,6022.0,98.0,258.0,14230.0,6799.0,1781.0,3421.0,0.0,0.0,12240.0,3769.0,0.0,0.0,8151,1174,1849,3164,4905,0.0,19,353.0,10087,1722,432,507,1132,94.0,12.0
KIENI EAST,36835,23138.0,21124,17802,170,185,9435,17784.0,813.0,0.0,19154.0,17620.0,477.0,2658.0,570.0,647.0,2222.0,7932.0,1876.0,3518.0,0.0,0.0,7667.0,2154.0,0.0,0.0,3910,441,8360,8961,4308,0.0,94,128.0,14277,579,131,551,1606,164.0,4.0
KIENI WEST,27619,21942.0,20488,17108,63,106,3417,18569.0,1296.0,0.0,18163.0,16912.0,532.0,2522.0,1342.0,379.0,1987.0,5527.0,1673.0,7839.0,0.0,0.0,7190.0,1596.0,0.0,0.0,5477,760,7504,7928,4320,0.0,251,67.0,13258,848,247,792,1440,61.0,9.0
MATHIRA EAST,35044,20473.0,19174,14460,66,123,4003,15719.0,123.0,0.0,9506.0,13036.0,1696.0,3659.0,74.0,275.0,12612.0,7727.0,1431.0,2717.0,0.0,0.0,9847.0,4137.0,0.0,0.0,6432,956,2593,3225,4191,0.0,9,540.0,8847,1121,280,193,1046,64.0,1.0
